Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
1,박동원,C,3.71,65,3.51,0.19,235,232,198,35,58,8,0,13,105,40,3,0,29,2,1,50,4,2,4,0.293,0.382,0.530,0.912,0.182,161.9,3.71
2,문보경,3B,3.48,67,3.61,-0.13,295,294,241,50,73,11,1,13,1,49,2,0,48,3,2,48,7,0,3,0.303,0.420,0.519,0.939,0.201,179.3,3.48
3,양의지,C,3.43,66,3.44,-0.02,269,268,229,30,71,13,0,12,120,44,0,0,34,3,2,36,5,0,3,0.310,0.401,0.524,0.9,0.188,167.8,3.43
4,김성윤,CF,3.15,55,2.64,0.51,215,209,182,41,66,13,3,2,91,27,13,3,,1,0,28,1,6,1,0.363,0.440,0.500,0.940,0.204,163.0,3.15
5,송성문,3B,2.84,72,2.40,0.44,310,309,278,39,76,18,0,10,124,38,8,0,31,0,1,46,2,0,1,0.273,0.345,0.446,0.791,0.141,127.9,2.84
6,오스틴,1B,2.78,64,2.57,0.21,265,262,227,47,67,10,0,19,134,52,2,0,34,0,4,35,6,0,4,0.295,0.381,0.590,0.971,0.194,174.4,2.78
7,박민우,2B,2.65,61,1.96,0.69,247,244,216,33,66,15,7,0,95,32,13,6,20,8,2,37,3,2,1,0.306,0.384,0.440,0.824,0.157,133.6,2.65
8,최형우,DH,2.63,65,2.63,0.00,272,268,228,35,73,20,1,11,128,40,0,0,38,4,6,44,5,0,2,0.320,0.423,0.561,0.984,0.204,175.4,2.63
9,레이예스,LF,2.56,70,2.55,0.01,315,311,287,43,101,,0,8,150,56,4,1,23,1,5,35,9,0,4,0.352,0.397,0.523,0.920,0.174,140.6,2.56
10,박성한,SS,2.20,66,1.93,0.27,277,275,230,34,55,14,0,3,78,21,2,4,42,2,1,53,1,2,1,0.239,0.360,0.339,0.699,0.126,106.1,2.20
11,이주형,CF,2.09,57,1.63,0.45,224,224,190,22,47,7,0,7,75,18,3,1,22,12,0,55,2,0,0,0.247,0.362,0.395,0.757,0.139,127.4,2.09
