Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,폰세,25P,4.50,15,15,0,0,0,0,9,0,0,0,96.0,23,24,22.80,365,61,7,0,6,22,3,0,129,2,3,5,2.16,2.25,2.14,2.21,2.05,0.86,4.50
2,후라도,25P,3.69,15,15,0,2,2,1,6,6,0,0,96.1,32,34,33.50,396,93,6,1,10,22,2,0,75,2,0,1,2.99,3.18,3.13,2.91,3.92,1.19,3.69
3,네일,25P,3.66,15,15,0,0,0,0,5,2,0,0,91.0,26,28,27.30,372,77,14,1,3,22,11,0,82,3,0,2,2.57,2.77,2.70,2.70,3.13,1.09,3.66
4,앤더슨,25P,3.62,14,14,0,0,0,0,5,3,0,0,82.0,19,23,21.45,330,60,11,1,4,22,4,0,119,2,0,4,2.09,2.52,2.35,2.38,1.80,1.00,3.62
5,임찬규,25P,3.57,14,14,0,1,1,1,8,2,0,0,86.1,25,26,24.30,349,77,22,1,3,25,3,1,59,3,0,0,2.61,2.71,2.53,2.64,3.54,1.18,3.57
6,와이스,25P,3.20,14,14,0,0,0,0,8,2,0,0,87.1,30,31,30.30,353,67,12,0,9,22,4,0,100,2,1,3,3.09,3.19,3.12,2.99,3.15,1.02,3.20
7,치리노스,25P,3.10,14,14,0,0,0,0,7,2,0,0,85.2,27,28,27.30,350,76,12,0,3,19,4,0,78,1,0,2,2.84,2.94,2.87,3.05,2.83,1.11,3.10
8,원태인,25P,3.06,12,12,0,0,0,0,5,2,0,0,74.0,22,23,22.50,293,68,19,2,6,8,2,0,52,2,0,0,2.68,2.80,2.74,2.68,3.48,1.03,3.06
9,잭로그,25P,2.99,14,14,0,0,0,0,4,6,0,0,84.2,28,31,28.55,342,63,11,1,2,20,9,0,78,5,0,2,2.98,3.30,3.03,3.16,2.91,0.98,2.99
10,송승기,25P,2.98,13,13,0,0,0,0,7,4,0,0,74.2,22,23,22.30,307,56,9,0,5,26,1,0,69,2,0,2,2.65,2.77,2.69,2.76,3.48,1.10,2.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,오원석,25P,2.69,13,13,0,0,0,0,8,3,0,0,73.2,24,26,24.65,305,62,9,0,5,31,4,1,65,2,0,4,2.93,3.18,3.01,3.00,3.96,1.26,2.69
12,라일리,25P,2.57,14,14,0,0,0,0,8,4,0,0,83.1,29,34,30.90,342,59,11,0,8,32,2,0,107,8,0,3,3.13,3.67,3.34,3.44,3.07,1.09,2.57
13,고영표,25P,2.54,13,13,0,1,1,1,6,4,0,0,80.0,26,32,31.50,343,91,18,0,2,16,5,1,81,5,1,4,2.93,3.60,3.54,3.38,2.44,1.34,2.54
