지점,지점명,일시,최저기온(°C),최고기온(°C)
146,전주,2024-01-01,0.2,9.3
146,전주,2024-01-02,4,7.7
146,전주,2024-01-03,1,6.1
146,전주,2024-01-04,-1.8,7.7
146,전주,2024-01-05,2.4,9.9
146,전주,2024-01-06,-0.2,6.6
146,전주,2024-01-07,-4.1,2.7
146,전주,2024-01-08,-6.8,2.3
146,전주,2024-01-09,-2.3,7.2
146,전주,2024-01-10,-1.6,4.1
146,전주,2024-01-11,-2.4,5.9
146,전주,2024-01-12,0.3,8.7
146,전주,2024-01-13,-2.8,6.8
146,전주,2024-01-14,-0.7,12.9
146,전주,2024-01-15,-3.7,3.1
146,전주,2024-01-16,-5.4,4.6
146,전주,2024-01-17,0,9.7
146,전주,2024-01-18,5.7,11
146,전주,2024-01-19,6,11.4
146,전주,2024-01-20,4.3,7.8
146,전주,2024-01-21,1.1,8.4
146,전주,2024-01-22,-6.9,1.1
146,전주,2024-01-23,-8.7,-4.4
146,전주,2024-01-24,-8.4,-1.3
146,전주,2024-01-25,-7.7,0.6
146,전주,2024-01-26,-5.5,4.9
146,전주,2024-01-27,-0.7,6.5
146,전주,2024-01-28,-2,4.6
146,전주,2024-01-29,-1.4,5.7
146,전주,2024-01-30,-3.7,9.8
146,전주,2024-01-31,3.7,13.3
146,전주,2024-02-01,3.3,8.7
146,전주,2024-02-02,0.6,7.6
146,전주,2024-02-03,-0.2,9.3
146,전주,2024-02-04,3.3,12.2
146,전주,2024-02-05,4.8,6.6
146,전주,2024-02-06,1.7,5.4
146,전주,2024-02-07,-0.8,5.1
146,전주,2024-02-08,-2.7,5.8
146,전주,2024-02-09,-2.6,7.2
146,전주,2024-02-10,-2.2,8.2
146,전주,2024-02-11,-2.1,8.1
146,전주,2024-02-12,-1.3,12.7
146,전주,2024-02-13,3.1,18
146,전주,2024-02-14,12.5,19.6
146,전주,2024-02-15,1.1,13
146,전주,2024-02-16,-1.3,9.4
146,전주,2024-02-17,0.9,14.2
146,전주,2024-02-18,4.3,14.7
146,전주,2024-02-19,4.5,16.5
146,전주,2024-02-20,4.3,8.4
146,전주,2024-02-21,5.1,8.5
146,전주,2024-02-22,3.4,5.8
146,전주,2024-02-23,1.9,7.6
146,전주,2024-02-24,2.2,8.5
146,전주,2024-02-25,1.8,6.3
146,전주,2024-02-26,-0.6,10.6
146,전주,2024-02-27,2.3,12.5
146,전주,2024-02-28,2.6,14.5
146,전주,2024-02-29,3.8,8.9
146,전주,2024-03-01,-5,4
146,전주,2024-03-02,-6.4,5.4
146,전주,2024-03-03,2.2,11.2
146,전주,2024-03-04,3.6,13.6
146,전주,2024-03-05,5.1,9.8
146,전주,2024-03-06,4.1,13.9
146,전주,2024-03-07,1.9,7.8
146,전주,2024-03-08,0.2,8.9
146,전주,2024-03-09,-2.1,8.1
146,전주,2024-03-10,-2.4,12.5
146,전주,2024-03-11,1.6,12.8
146,전주,2024-03-12,2.8,11.3
146,전주,2024-03-13,0.8,12.4
146,전주,2024-03-14,1.5,15
146,전주,2024-03-15,1.4,16.9
146,전주,2024-03-16,2.5,20.7
146,전주,2024-03-17,5,15
146,전주,2024-03-18,1.5,15.1
